0	6873
1	6872
2	6870
3	531
4	530
5	6869
6	2951
7	2950
8	6868
9	1821
10	6867
11	2952
12	2955
13	6865
14	6864
15	532
16	2954
17	1820
18	1825
19	539
20	2956
21	538
22	537
23	2959
24	2958
25	1824
26	536
27	1829
28	1827
29	1828
30	6882
31	6883
32	6884
33	6885
34	6880
35	3
36	540
37	2940
38	2
39	542
40	1
41	541
42	7
43	6876
44	2943
45	6
46	6875
47	5
48	546
49	2942
50	545
51	2941
52	4
53	1811
54	1812
55	548
56	2948
57	1813
58	2947
59	547
60	2946
61	9
62	1814
63	8
64	2945
65	549
66	1815
67	1817
68	1818
69	1819
70	6892
71	2980
72	6890
73	6895
74	6896
75	6893
76	1843
77	6889
78	2975
79	1844
80	2974
81	6888
82	512
83	6887
84	2977
85	511
86	6886
87	2976
88	2970
89	2972
90	519
91	1849
92	518
93	2979
94	517
95	2978
96	1848
97	516
98	1845
99	515
100	1846
101	6898
102	2966
103	522
104	1830
105	6897
106	2965
107	521
108	2964
109	524
110	1832
111	6899
112	2963
113	523
114	2962
115	2961
116	520
117	1838
118	1839
119	1834
120	525
121	2968
122	528
123	1837
124	527
125	571
126	570
127	2992
128	2993
129	575
130	2994
131	2995
132	573
133	578
134	2996
135	2997
136	576
137	2998
138	577
139	2999
140	2991
141	580
142	2990
143	581
144	583
145	2983
146	585
147	2981
148	2982
149	586
150	587
151	2987
152	2988
153	589
154	2985
155	2986
156	1808
157	1806
158	1805
159	1804
160	558
161	1802
162	559
163	557
164	554
165	555
166	552
167	553
168	551
169	560
170	569
171	566
172	567
173	568
174	561
175	562
176	1894
177	1892
178	1893
179	1898
180	1896
181	1897
182	6801
183	6800
184	6803
185	6802
186	6805
187	6804
188	6807
189	6806
190	6809
191	6808
192	6812
193	6811
194	6810
195	6816
196	6815
197	6814
198	6819
199	6818
200	6817
201	2914
202	1868
203	2915
204	1867
205	1869
206	2913
207	6828
208	2918
209	6829
210	2919
211	2916
212	2917
213	6824
214	1860
215	6825
216	1862
217	6827
218	6820
219	2910
220	1864
221	6821
222	1863
223	6822
224	1866
225	1865
226	6830
227	505
228	2901
229	1859
230	2902
231	1858
232	1857
233	2903
234	503
235	504
236	1856
237	2904
238	509
239	2907
240	507
241	6839
242	508
243	2908
244	1851
245	6837
246	1850
247	6838
248	6835
249	6836
250	501
251	6833
252	1855
253	6834
254	1854
255	502
256	1853
257	1852
258	2900
259	6832
260	500
261	6841
262	6840
263	2909
264	4709
265	2938
266	2939
267	4707
268	2937
269	1889
270	4708
271	2934
272	4705
273	4706
274	2935
275	6842
276	2932
277	4703
278	6843
279	1885
280	4704
281	4701
282	6844
283	1888
284	4702
285	1887
286	6846
287	1882
288	1881
289	6847
290	4700
291	1884
292	6848
293	1883
294	6849
295	1890
296	1891
297	6850
298	6852
299	2927
300	2928
301	2923
302	2924
303	4718
304	1879
305	2926
306	1878
307	6855
308	6856
309	4713
310	6853
311	2921
312	4714
313	1874
314	4715
315	2922
316	1872
317	1871
318	4710
319	6857
320	1870
321	6858
322	4711
323	1880
