1027	475	10
7902	2156	11
10043	8691	11
6656	1649	11
4294	1539	10
6935	12040	10
2638	6483	11
13641	508	10
11412	873	11
11009	8494	8
11114	6483	11
2481	3782	11
325	1010	11
2779	10455	12
1251	4249	11
978	873	11
7100	873	11
1032	5712	10
7353	4745	10
4866	9156	11
7524	2323	11
5908	13058	10
4499	8494	8
4665	11255	12
12152	9146	10
10178	5170	8
1042	12448	10
10240	3925	11
1062	11476	10
3262	8887	11
13599	1969	10
190	11908	10
732	10623	11
9751	6868	11
2569	3205	11
12450	5252	10
5971	13375	10
3234	3925	11
4854	2156	11
9093	1292	10
1562	9093	10
13251	7197	10
5331	1034	10
13143	4679	11
12985	9407	10
269	8961	10
11961	992	11
3490	5896	11
10574	12272	10
11799	3822	11
5602	6039	11
61	8442	12
7443	3562	10
2216	9813	11
13302	12274	10
2195	6483	11
13174	1466	11
7930	1649	11
5945	6802	10
12632	5896	11
12103	6184	10
13820	8065	10
3008	3782	11
1357	8851	8
6291	1308	11
12604	6151	10
13517	7917	10
9809	8614	10
366	2018	10
11122	3453	10
9285	9156	11
1433	6039	11
2050	11663	11
9711	5224	10
10375	13151	10
3334	7369	11
9965	7507	10
5106	4478	10
10276	3925	11
510	1010	11
12977	254	11
6683	1010	11
10059	6955	10
11599	8708	10
6337	1168	10
7628	9417	10
6789	11764	10
6497	3312	10
623	1956	10
5684	11294	10
284	8494	8
9445	1942	11
6766	7334	10
1957	992	11
9147	7928	10
7633	7570	10
13104	3205	11
4487	503	10
9412	13213	11
6802	9156	11
13017	13571	10
490	13645	10
13251	8557	10
12641	1010	11
6487	9156	11
9447	2199	5
1908	1419	10
9368	992	11
2973	13021	10
2699	4624	11
2305	333	10
9887	3405	10
11259	6841	10
6497	4681	10
6642	4249	11
6391	2591	10
12373	5605	10
5521	12040	10
11070	13058	10
1652	367	10
1125	3822	11
6719	9156	11
5349	2524	10
2348	5530	10
7282	2411	10
9957	9156	11
9380	1942	11
358	9156	11
398	5402	10
2006	762	10
8710	13213	11
201	7037	10
2006	11520	10
2832	1135	10
5106	873	11
10945	4746	10
1536	1387	10
2241	4679	11
8304	6039	11
4279	1141	10
11277	11663	11
11892	9845	10
3044	992	11
11714	5801	10
12269	6185	10
12502	6039	11
1069	2470	10
13584	4975	10
4715	4767	10
3756	1910	10
10357	2156	11
1245	13058	10
6633	1167	10
2413	1010	11
12292	12959	10
7143	5896	11
4619	11663	11
3858	6204	10
5513	11786	10
11294	6455	10
10071	6483	11
12938	5236	10
11714	2156	11
10940	11336	10
1018	12777	5
8263	7613	10
4205	3169	10
13349	1069	10
105	1466	11
8267	3925	11
2950	1038	10
7788	254	11
690	12321	10
1721	8358	11
6353	9813	11
5497	4975	10
6349	1308	11
1191	2156	11
4614	1364	10
1485	13136	10
7970	9475	10
13605	8217	11
10818	11022	11
11480	2156	11
2910	13026	10
6896	3963	10
7017	9813	11
10841	441	10
3459	2156	11
3615	289	11
2955	11663	11
8694	2156	11
7313	1466	11
2236	9156	11
2430	7820	10
12110	1466	11
11175	873	11
7465	1942	11
2516	8544	10
10913	2478	11
4855	3782	11
7466	5423	11
9242	8448	10
6966	9813	11
5922	727	11
2039	2156	11
7376	5695	10
10707	2423	11
4031	13694	10
5572	6313	10
13477	3782	11
10321	13142	11
337	4624	11
11561	1010	11
6539	3845	10
6152	5629	10
10626	10868	10
112	11764	10
10224	6483	11
9217	11128	10
