0	http://dbpedia.org/ontology/translator
1	http://dbpedia.org/ontology/language
2	http://dbpedia.org/ontology/coverArtist
3	http://dbpedia.org/ontology/lastAppearance
4	http://www.w3.org/2000/01/rdf-schema#seeAlso
5	http://dbpedia.org/ontology/publisher
6	http://dbpedia.org/ontology/illustrator
7	http://dbpedia.org/ontology/basedOn
8	http://purl.org/linguistics/gold/hypernym
9	http://dbpedia.org/property/books
10	http://dbpedia.org/ontology/wikiPageWikiLink
11	http://www.w3.org/1999/02/22-rdf-syntax-ns#type
12	http://dbpedia.org/ontology/literaryGenre
